"Name","Price","Description","Features","Case Card","Category","Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Manual"
"Canon EOS C300 PL Mount Super 35mm CF Camera","400","Bringing Canon's expertise and decades of experience designing sensors, lenses, image processing and design to the world of motion picture capture, the EOS C300 camera has been designed to meet the demanding needs of cinema industry professionals, providing a modular, portable and eminently adaptable system of cameras, lenses and accessories built for moviemaking in the 21st century.Featuring a unique Super 35mm Canon CMOS sensor, revolutionary Canon DIGIC DV III Image Processor and 50 Mbps 4:2:2 codec, the EOS C300 provides outstanding cinema quality movie capture. Compact, modular and compatible with Canon's existing line-up of EF and new EF Cinema lenses as well as accessories from third parties, the stunningly simple to operate EOS C300 is designed to please cinematographers for any production large and small, on location or in the studio, from shoestring to Hollywood budgets.The EOS C300 PL has a PL mount and is compatible both with a new series of Canon Cine PL lenses as well as the majority of third-party optics available for 35mm motion picture cameras.Designed with SMPTE HD production standards, its MPEG-2 codec is an internationally recognized standard compatible with major NLE applications while additional features such as Canon Log ensure seamless integration with existing production workflows, making post-production easy. And with an entire support infrastructure designed to help you get the most from your equipment before, during and after production, the EOS C300 is ready to go to work.","• New Canon Super 35mm CMOS Sensor• Canon DIGIC DV III Image Processor• Canon XF Codec• Fully Compatible with a Wide Variety of PL-mount Lenses• Ergonomics & Design• CF Memory Card Recording• Multiple Recording Formats and Advanced Recording•Connectivity• Full Manual Control and Focusing Aids• WFT Wireless Remote Control over Wi-Fi• FIRMWARE UPDATE NOW AVAILABLE","","Camera - Digital Camera","","","","","",""
"Video 18 Plus Tripod Head","60","","","","","","","","","",""
"Shure SM58 Handheld Microphone","10","","","","","","","","","",""
"Sachtler FSB6 DV Tripod Head","40","Sachtler's fluid heads offer 100 percent reliability. The patented damping system excels even when you and your equipment are challenged by the most adverse shooting conditions imaginable. Extreme temperatures have absolutely no effect on the fluid heads. They provide frictionless operation, are free of hydraulic oil and are completely enclosed in their own capsule against any external influence. <P>The DV6 Speed Balance head and the 75/2D 2 stage tripod weigh only 10.4lbs together ideal for compact run and gun.<P>Specifications:<UL><LI>Weight: 5.3 lb<LI>Payload: 2-20 lb<LI>Counterbalance: 10 step<LI>Grades of drag: 5 horizontal and vertical<LI>Tilt range: +90deg to -75deg<LI>Temperature range: -40 to +60degC / -40 to +140degF<LI>Tripod / pedestal fitting: 75 mm</UL>","X","","Rentals>Tripods & Support>Systems","","","","","",""
"Fujinon 19-90mm Cabrio Zoom Lens","450","The PL 19-90 Cabrio (ZK4.7x19) features an exclusive detachable servo drive unit, making it suitable for use as a standard PL lens or as an ENG-Style lens.<p>                             The ZK4.7x19 also features flange focal distance adjustment, macro function, and is LDS (Lens Data System) and /i metadata compatible.<p>                   With a 19-90mm focal range and weight of only 2.7kg including servo motors, this lens has the longest focal range available in a light weight zoom.","• 16-bit encoding on the digital servo to ensure extremely accurate lens data output<p>• Set to accept industry standard cine motors and matte boxes when the detachable drive is removed<p>• Covers 31.5mm sensor size on a digital cinema style camera<p>• Barrel markings are luminous for visibility in dark shooting situations<p>• Distances are listed in feet or meters and can be changed in the field<p>• Can be controlled using cinema industry standard wireless controllers as well as existing Fujinon wired and wireless units<p>","","2 categories: 1) Rentals>Lenses>35mm Cinema Zoom and 2) Rentals>Lenses>Video High Definition","","","","","",""
"Canon CN-E EF 50mm T1.3 Prime Lens","70","The Cinema prime CN-E50mm T1.3 L F (EF mount) lens offers a compact, consistent lens design and proven Canon lens elements for performance and reliability in professional shooting environments.<p>Intended for the working professional, the EF Cinema Prime CN-E50mm T1.3 L F lens has markings on angled surfaces on both sides of the barrel, making it easy to read focus and aperture settings from behind or from either side of the camera. Focus markings can even be switched from standard labeling to metric. The control rings are engineered to maintain the proper amount of resistance with consistent operating torque.<p>Designed to fulfill contemporary 4K production standards, it features a full-frame imaging circle in a lightweight, compact design-this phenomenal lens is perfect for any number of applications. It also features an 11-blade aperture diaphragm for beautiful background blur and innovative glass construction that counteracts barrel expansion and contraction to avoid temperature induced marking discrepancies.","• Optics optimized for cine recording, and image quality/resolution meeting the demands of 4K digital cinema recording<p>• ""F"" at end of the lens name = full-frame coverage, and with a Canon EF lens mount, it’s ideal for the Cinema EOS series of cameras, as well as full-frame EOS HD-SLRs<p>• Totally professional design: super-smooth mechanics, with 300˚ rotation of the manual focus ring, and compatibility with most 3rd-party geared focus accessories<p>• 11-blade lens iris, and stepless iris control ring<p>• Superb available-light lens with short-telephoto field of view on Super 35-size cameras (EOS C300 and APS-C), and normal coverage on full-frame EOS HD-SLRs<p>","","Rentals>Lenses>35mm Cinema Prime","","","","","",""
"Canon CN-E EF 85mm T1.3 Prime Lens","70","The Cinema prime CN-E85mm T1.3 L F (EF mount) lens offers a compact, consistent lens design and proven Canon lens elements for performance and reliability in professional shooting environments.<p>Intended for the working professional, the EF Cinema Prime CN-E85mm T1.3 L F lens has markings on angled surfaces on both sides of the barrel, making it easy to read focus and aperture settings from behind or from either side of the camera. Focus markings can even be switched from standard labeling to metric. The control rings are engineered to maintain the proper amount of resistance with consistent operating torque.<p>Designed to fulfill contemporary 4K production standards, it features a full-frame imaging circle in a lightweight, compact design-this phenomenal lens is perfect for any number of applications. It also features an 11-blade aperture diaphragm for beautiful background blur and innovative glass construction that counteracts barrel expansion and contraction to avoid temperature induced marking discrepancies.","• Optics capable of 4K recording quality, and exceeding the requirements of any current Full HD recording system<p>• EF Cinema prime lens: Canon EF mount, and optical coverage for cameras up to and including ""full-frame"" EOS HD-SLRs<p>• Ideal telephoto choice for Canon Cinema EOS digital cameras<p>• Designed for cine operation: 11-blade iris with stepless control ring; super-smooth manual focus with 300˚ ring rotation; and consistent front-diameter and gear placements with Canon's CN-E 24mm T1.5 L F and CN-E50mm T1.3 L F prime lenses<p>• Exceptional optical characteristics with outstanding color rendition and contrast ratios providing incredible image quality in an extremely fast lens<p>• Completely manual focus and iris operation, even when mounted on EOS HD-SLRs","","Rentals>Lenses>35mm Cinema Prime","","","","","",""
"Canon CN-E EF 14mm T3.1 Prime Lens","70","Canon's EF Cinema Prime Lens, the CN-E 14mm T3.1 L F, offers superior 4K-image quality and a full-frame image circle with an outstanding wide-angle field of view. Optimized for motion picture production, it is one of the newest entries to the Canon Cinema Primes series of lenses, which offer the same consistent design and form factor, focus gear position, lens coatings and uniform 114 mm front diameter throughout the set.<p>           Engineered with the demanding professional in mind, the CN-E 14mm T3.1, shoots incredible wide-angle images with minimal edge distortion and will produce sharp, high-resolution pictures with consistent color balance, contrast, and clarity.","• Consistent operating torque throughout the Canon Cinema Prime Lens set maintains just the right amount of resistance for focus adjustment<p>• Mounts easily with industry standard accessories like focus drives and matte boxesAccepts 105mm front element filters<p>• Compatible with larger, EOS DSLR full-frame and Super 35mm CMOS sensors<p>• Standard or metric glow-in-the-dark focus markings on both sides of the lens and angled housing surfaces make for easy measurement reading by the operator","","Rentals>Lenses>35mm Cinema Prime","","","","","",""
"Canon CN-E EF 135mm T2.2 Prime Lens","70","Canon's new EF Cinema Prime Lens, the CN-E 135mm T2.2 L F, was designed to provide the highest quality 4K/2K/HD production imaging with legendary Canon lens precision, clarity, and optical brilliance.<p>                  The optical characteristics and coatings of the CN-E 135mm T2.2 are matched to the other Canon Cinema Primes, Compact Zooms and Zooms to ensure accurate color matching and consistency across the entire line.<p>                                                                   The lens coating was developed to the highest cinematography standards to ensure natural skin tones, reduce ghosting, and minimize flare while delivering outstanding color and contrast.<p>                             The lens housing design incorporates attributes demanding professionals require like standard or metric glow-in-the-dark focus markings on both sides of the lens, angled surfaces for easy reading by the operator, a uniform front diameter size, and standard focus gear positions with other Canon Cinema Primes for easy swapping during demanding productions.","• Compatible with larger, EOS DSLR full-frame and Super 35mm CMOS sensors<p>• The 11-blade circular aperture enables soft, beautiful bokeh<p>• A uniform front lens diameter and standard focus gear position with the other Canon Cinema Primes makes for quick replacement between lenses without adjustment to the camera rig<p>• Light and compact to meet a variety of production needs<p>• Fast aperture ensures shallow depth-of-field in low light shooting situations","","Rentals>Lenses>35mm Cinema Prime","","","","","",""
"Canon CN-E EF 35mm T1.5 Prime Lens","70","The CN-E35mm T1.5 L F prime lens is designed for cinema-style operation and single-sensor digital cinematography cameras that use either a Super 35mm or full-frame 35mm imaging. It’s the newest and sixth lens added to Canon’s line of compact, EF-mount lenses that now include a 14mm, 24mm, 35mm, 50mm, 85mm, and 135mm set of cinema primes.<p>          Mechanically, it features smooth, stepless iris and focus rings with the same uniform gear positioning as the other primes, facilitating quick lens changes on the set.<p>     The Canon EF mount with electronic contacts allow for direct communications between the lens and Canon cameras, enabling lens data to be displayed in the viewfinder or monitor and recorded to the video file as metadata.","• Optics capable of exceptional 4K, 2K, and HD recording quality<p>• Its ability to cover both Super 35 and full frame sensors makes it an ideal choice for either cinema production or HD-SLR motion or still image capture<p>                                                         • Consistent front diameter and form factor with the complete set of Canon cinema primes<p>  • Beveled, cine-style housing provides the operator with a clear view of distance marks<p>  • 11-blade aperture diaphragm helps achieve creative depth-of-field manipulation and bokeh effects<p>  • Focus control ring maintains a consistent operating torque throughout the entire rotation and is switchable from feet to metric","","Rentals>Lenses>35mm Cinema Prime","","","","","",""
